scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
VAL_DG_000001,single_product_sensitivity,M_80444b1595d4.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.932301740812379,1.0,ok,,VAL_DG_000001,M_80444b1595d4,Valine__dG_m200(aq),0.0080800410069059,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.034000000000001,0.9640000000000007,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000001,single_product_sensitivity,M_80444b1595d4.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0135396518375241,0.02,ok,,VAL_DG_000001,M_80444b1595d4,Valine__dG_m200(aq),0.0080800410069059,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.034000000000001,0.013999999999999933,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000001,single_product_sensitivity,M_80444b1595d4.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,1.4709457772799055e-51,0.042,ok,,VAL_DG_000001,M_80444b1595d4,Valine__dG_m200(aq),0.0080800410069059,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.034000000000001,1.5209579337074238e-51,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000001,single_product_sensitivity,M_80444b1595d4.yaml,Valine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0367504835589941,0.05,ok,,VAL_DG_000001,M_80444b1595d4,Valine__dG_m200(aq),0.0080800410069059,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.034000000000001,0.03799999999999994,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000001,single_product_sensitivity,M_80444b1595d4.yaml,Valine(aq),0.0,273.15,101325.0,Valine__dG_m200(aq),0.0,0.0174081237911025,0.0,ok,,VAL_DG_000001,M_80444b1595d4,Valine__dG_m200(aq),0.0080800410069059,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.034000000000001,0.018000000000000002,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000002,single_product_sensitivity,M_0035cba8debe.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.932301740812379,1.0,ok,,VAL_DG_000002,M_0035cba8debe,Valine__dG_m160(aq),0.0061506249912781,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.034000000000001,0.9640000000000007,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000002,single_product_sensitivity,M_0035cba8debe.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0135396518375241,0.02,ok,,VAL_DG_000002,M_0035cba8debe,Valine__dG_m160(aq),0.0061506249912781,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.034000000000001,0.013999999999999933,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000002,single_product_sensitivity,M_0035cba8debe.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,2.7910770057227506e-48,0.042,ok,,VAL_DG_000002,M_0035cba8debe,Valine__dG_m160(aq),0.0061506249912781,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.034000000000001,2.8859736239173264e-48,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000002,single_product_sensitivity,M_0035cba8debe.yaml,Valine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0367504835589941,0.05,ok,,VAL_DG_000002,M_0035cba8debe,Valine__dG_m160(aq),0.0061506249912781,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.034000000000001,0.03799999999999994,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
VAL_DG_000002,single_product_sensitivity,M_0035cba8debe.yaml,Valine(aq),0.0,273.15,101325.0,Valine__dG_m160(aq),0.0,0.0174081237911025,0.0,ok,,VAL_DG_000002,M_0035cba8debe,Valine__dG_m160(aq),0.0061506249912781,valine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.034000000000001,0.018000000000000002,2.7916633114365613e-15,C:1.03400000e+00;H:1.03400000e+00;N:1.03400000e+00;O:1.03400000e+00
