study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),M_6387c2527f93,0.0,101325.0,0.0046223329991335,1.0,0.02,0.042,0.0,2.1,-200.0,HIS_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),M_6e35453e2641,0.0,101325.0,0.0045629999949596,1.0,0.02,0.042,0.0,2.1,-160.0,HIS_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),M_b928fb036b92,0.0,101325.0,0.0047982500109355,1.0,0.02,0.042,0.0,2.1,-120.0,HIS_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),M_3cf40f04aa7d,0.0,101325.0,0.0046298329980345,1.0,0.02,0.042,0.0,2.1,-80.0,HIS_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),M_384ef57a2c08,0.0,101325.0,0.0047973749897209,1.0,0.02,0.042,0.0,2.1,-40.0,HIS_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),M_b523a2c99228,0.0,101325.0,0.0045514999947045,1.0,0.02,0.042,0.0,2.1,0.0,HIS_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),M_c509c6a73671,0.0,101325.0,0.0045767499977955,1.0,0.02,0.042,0.0,2.1,40.0,HIS_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),M_76aefa92e69c,0.0,101325.0,0.004980166995665,1.0,0.02,0.042,0.0,2.1,80.0,HIS_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),M_f4c393140d0e,0.0,101325.0,0.0045790000003762,1.0,0.02,0.042,0.0,2.1,120.0,HIS_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),M_622b79fabd9c,0.0,101325.0,0.00456824999128,1.0,0.02,0.042,0.0,2.1,160.0,HIS_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p200(aq),M_adc129284044,0.0,101325.0,0.004811291990336,1.0,0.02,0.042,0.0,2.1,200.0,HIS_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0054948330071056,1.0,0.02,0.042,0.0,2.1,0.0,HIS_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
