study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),M_d1e729cbd51f,0.0,101325.0,0.0047067080013221,1.0,0.02,0.042,0.0,2.1,-200.0,ARG_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),M_76b51f3c44c6,0.0,101325.0,0.0049867909983731,1.0,0.02,0.042,0.0,2.1,-160.0,ARG_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),M_1d20c473ca84,0.0,101325.0,0.0046072080003796,1.0,0.02,0.042,0.0,2.1,-120.0,ARG_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),M_2b60a948ccc1,0.0,101325.0,0.0045546670007752,1.0,0.02,0.042,0.0,2.1,-80.0,ARG_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),M_9176e9278e3f,0.0,101325.0,0.0048331250000046,1.0,0.02,0.042,0.0,2.1,-40.0,ARG_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),M_d004f5f9d440,0.0,101325.0,0.0046211250009946,1.0,0.02,0.042,0.0,2.1,0.0,ARG_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),M_837873d9c3ce,0.0,101325.0,0.0049607090040808,1.0,0.02,0.042,0.0,2.1,40.0,ARG_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),M_55d67ea23f1f,0.0,101325.0,0.0046957090089563,1.0,0.02,0.042,0.0,2.1,80.0,ARG_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),M_529b3e75a6f1,0.0,101325.0,0.0050473340088501,1.0,0.02,0.042,0.0,2.1,120.0,ARG_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),M_b72d9a57c241,0.0,101325.0,0.0045515830133808,1.0,0.02,0.042,0.0,2.1,160.0,ARG_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),M_f72005ef8c75,0.0,101325.0,0.0044752079993486,1.0,0.02,0.042,0.0,2.1,200.0,ARG_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0054035829962231,1.0,0.02,0.042,0.0,2.1,0.0,ARG_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
