study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),M_27d21f8fc956,0.0,101325.0,0.0083752079954138,1.0,0.02,0.042,0.0,2.1,-200.0,LYS_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),M_c8e32c6be7ad,0.0,101325.0,0.0053608750022249,1.0,0.02,0.042,0.0,2.1,-160.0,LYS_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),M_7feae772d5cf,0.0,101325.0,0.0051898329984396,1.0,0.02,0.042,0.0,2.1,-120.0,LYS_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),M_0ae6e4caf8d4,0.0,101325.0,0.0046840839931974,1.0,0.02,0.042,0.0,2.1,-80.0,LYS_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),M_c873ea435fcc,0.0,101325.0,0.0046533340064343,1.0,0.02,0.042,0.0,2.1,-40.0,LYS_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),M_01e4d0d684eb,0.0,101325.0,0.0048815830086823,1.0,0.02,0.042,0.0,2.1,0.0,LYS_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),M_bff3d5d0aaa9,0.0,101325.0,0.0045892919879406,1.0,0.02,0.042,0.0,2.1,40.0,LYS_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),M_f88afb06b490,0.0,101325.0,0.0045746249961666,1.0,0.02,0.042,0.0,2.1,80.0,LYS_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),M_3d3519a3d7d0,0.0,101325.0,0.0047089580039028,1.0,0.02,0.042,0.0,2.1,120.0,LYS_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),M_aa42e7938809,0.0,101325.0,0.0047178749955492,1.0,0.02,0.042,0.0,2.1,160.0,LYS_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),M_99cffa65d1dd,0.0,101325.0,0.0048112920048879,1.0,0.02,0.042,0.0,2.1,200.0,LYS_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0065652500052237,1.0,0.02,0.042,0.0,2.1,0.0,LYS_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
